Threshold,Relationship,Dependent,Commodity,Lower_Inflation_Beta,High_Inflation_Beta,Regime_Difference,Difference_HAC_PValue,Lower_Beta_HAC_PValue,Model_R_Squared,Observations,High_Inflation_Observations,Lower_Inflation_Observations
2.68,Brent → energy equities,EnergyETF,Brent,-0.06701424397774244,0.4419783562527204,0.5089926002304629,0.020224767288753057,0.7289497842075636,0.15612756459437105,89,46,43
2.68,Gold → mining equities,MiningETF,Gold,0.2690736799188441,0.6328932353482102,0.3638195554293661,0.46390187074805034,0.4010233759805004,0.2603324099108001,89,46,43
2.68,Copper → mining equities,MiningETF,Copper,0.6238225619475494,0.47590884194712635,-0.14791372000042302,0.645900361811582,0.0028692483437386183,0.2603324099108001,89,46,43
3.0,Brent → energy equities,EnergyETF,Brent,-0.03012554471511312,0.49294804160745626,0.5230735863225694,0.015558761377137008,0.8683512556729983,0.15398517600705086,89,35,54
3.0,Gold → mining equities,MiningETF,Gold,0.2976915048579152,0.5164566986399638,0.21876519378204862,0.6802821470607383,0.22828567259136479,0.27065738024647057,89,35,54
3.0,Copper → mining equities,MiningETF,Copper,0.42847427834935725,0.7565361293971229,0.32806185104776564,0.35529841364744574,0.026555480289091618,0.27065738024647057,89,35,54
3.5,Brent → energy equities,EnergyETF,Brent,0.00047504861155847893,0.5540685459060287,0.5535934972944703,0.017244471512147554,0.9978782650541127,0.15196896277707805,89,24,65
3.5,Gold → mining equities,MiningETF,Gold,0.344013315719955,0.22101936475437234,-0.12299395096558269,0.8370481904211419,0.10113841218922576,0.31091233317987366,89,24,65
3.5,Copper → mining equities,MiningETF,Copper,0.4234550608406704,1.132142676642617,0.7086876158019466,0.02239917462507681,0.015124338468297449,0.31091233317987366,89,24,65
4.0,Brent → energy equities,EnergyETF,Brent,0.001776709078091964,0.5894867573051996,0.5877100482271077,0.010230838763206889,0.9920412987837456,0.15949842111953605,89,23,66
4.0,Gold → mining equities,MiningETF,Gold,0.3356690714266985,0.17585294429737394,-0.15981612712932455,0.8048396718018095,0.09782736469298703,0.3110861730787895,89,23,66
4.0,Copper → mining equities,MiningETF,Copper,0.4210309855762266,1.1515997345647184,0.7305687489884919,0.027358546933531215,0.01449891154375057,0.3110861730787895,89,23,66
